Atomo,Bleep,385-555-0106,Atomo@Bleep,Atomo123,1,3/27/2017,user
Bad,Wolf,435-555-0112,Bad@Wolf,Bad123,1,6/27/2021,user
Bill,Goat,385-555-0168,Bill@Goat,Bill123,1,6/27/2021,user
Black,Pete,385-555-0145,Black@Pete,Black123,1,1/17/2022,user
Bobo,Elephant,385-555-0159,Bobo@Elephant,Bobo123,1,3/27/2017,manager
Captain,Dobermen,801-555-0176,Captain@Dobermen,Captain123,0,3/27/2017,user
Charles,Lindbergh,435-555-0139,Charles@Lindbergh,Charles123,1,4/20/2018,manager
Chief,O'Hara,385-555-0111,Chief@O'Hara,Chief123,1,7/5/2019,manager
Clarabelle,Cow,385-555-0182,Clarabelle@Cow,Clarabelle123,1,10/17/2019,user
Commander,Woo,385-555-0102,Commander@Woo,Commander123,1,8/29/2020,user
Cousin,Clabberwort,385-555-0106,Cousin@Clabberwort,Cousin123,1,5/20/2021,user
Detective,Casey,801-555-0164,Detective@Casey,Detective123,1,1/17/2022,user
Dinah,Dachshund,385-555-0123,Dinah@Dachshund,Dinah123,1,10/17/2019,manager
Doctor,Einmug,385-555-0173,Doctor@Einmug,Doctor123,1,7/5/2019,user
Doctor,Static,385-555-0142,Doctor@Static,Doctor123,1,1/1/2020,user
Donald,Duck,385-555-0146,Donald@Duck,Donald123,1,3/27/2017,user
Eaga,Beeva,385-555-0186,Eaga@Beeva,Eaga123,1,4/20/2018,user
Eli,Squinch,385-555-0159,Eli@Squinch,Eli123,1,5/20/2021,user
Fairy,Godmother,435-555-0107,Fairy@Godmother,Fairy123,1,2/2/2020,user
Father,Time,315-555-0127,Father@Time,Father123,1,7/5/2019,user
Fiddler,Pig,801-555-0181,Fiddler@Pig,Fiddler123,1,6/27/2021,user
Fifer,Pig,801-555-0148,Fifer@Pig,Fifer123,1,7/5/2019,user
Fifi,Peke,385-555-0126,Fifi@Peke,Fifi123,0,3/27/2017,user
Friend,Owl,385-555-0105,Friend@Owl,Friend123,1,8/29/2020,user
Gideon,Goat,435-555-0176,Gideon@Goat,Gideon123,1,1/1/2020,user
Grandma,Goofy,315-555-0173,Grandma@Goofy,Grandma123,1,6/27/2021,user
Horace,Horsecollar,385-555-0196,Horace@Horsecollar,Horace123,1,4/20/2018,user
Jiminy,Cricket,435-555-0149,Jiminy@Cricket,Jiminy123,0,3/27/2017,user
Joe,Piper,385-555-0157,Joe@Piper,Joe123,1,2/2/2020,user
Kat,Nipp,315-555-0186,Kat@Nipp,Kat123,1,2/2/2020,manager
Lady,Tremaine,801-555-0118,Lady@Tremaine,Lady123,0,5/20/2021,manager
Lil,Davy,385-555-0172,Lil@Davy,Lil123,1,3/27/2017,user
Little,Wolf,801-555-0159,Little@Wolf,Little123,1,10/17/2019,manager
Lucius,Lamb,385-555-0143,Lucius@Lamb,Lucius123,1,2/2/2020,user
Madeline,Mouse,385-555-0102,Madeline@Mouse,Madeline123,1,1/17/2022,manager
Marcus,Mouse,385-555-0188,Marcus@Mouse,Marcus123,0,4/20/2018,user
Marshal,Mouse,385-555-0197,Marshal@Mouse,Marshal123,1,3/27/2017,user
Matilda,Mouse,385-555-0174,Matilda@Mouse,Matilda123,1,10/17/2019,user
Mickey,Mouse,385-555-0193,Mickey@Mouse,Mickey123,1,5/20/2021,user
Minnie,Mouse,385-555-0110,Minnie@Mouse,Minnie123,1,1/1/2020,user
Nathaniel,Churchmouse,385-555-0154,Nathaniel@Churchmouse,Nathaniel123,1,10/17/2019,manager
Patricia,Pig,801-555-0132,Patricia@Pig,Patricia123,1,7/5/2019,user
Percy,Pig,801-555-0116,Percy@Pig,Percy123,1,2/2/2020,user
Phantom,Blot,801-555-0102,Phantom@Blot,Phantom123,1,6/27/2021,manager
Pig,Mayor,315-555-0145,Pig@Mayor,Pig123,1,1/17/2022,user
Practical,Pig,385-555-0126,Practical@Pig,Practical123,1,6/27/2021,user
Professor,Doublex,801-555-0141,Professor@Doublex,Professor123,1,3/27/2017,user
Professor,Dustibones,385-555-0111,Professor@Dustibones,Professor123,1,5/20/2021,user
Professor,Ecks,315-555-0103,Professor@Ecks,Professor123,1,3/27/2017,user
Professor,Triplex,385-555-0142,Professor@Triplex,Professor123,1,1/17/2022,user
Rhyming,Man,435-555-0165,Rhyming@Man,Rhyming123,1,3/27/2017,user
Robinson,Crusoe,801-555-0143,Robinson@Crusoe,Robinson123,1,4/20/2018,user
Santa,Clause,315-555-0178,Santa@Clause,Santa123,1,6/27/2021,user
Sylvester,Shyster,801-555-0169,Sylvester@Shyster,Sylvester123,1,3/27/2017,user
Uncle,Gudger,385-555-0105,Uncle@Gudger,Uncle123,1,8/29/2020,user
Uncle,Mortimer,385-555-0191,Uncle@Mortimer,Uncle123,1,2/2/2020,user
Uncle,Wombat,385-555-0142,Uncle@Wombat,Uncle123,1,6/27/2021,user
